cache_ratio,get_repeats,put_repeats,compare_session,operation,phase,round_index,mode,gpu_block_capacity_ratio,num_gpu_blocks_required,num_gpu_blocks,ready_total_ms,put_submit_ms,put_wait_ms,put_total_ms,put_effective_gbps,get_prefill_put_total_ms,get_match_ms,get_launch_ms,get_wait_ms,get_total_ms,cache_hit_percent,get_effective_gbps,mgr_construct_and_start_ms,tp_register_until_ready_ms
1.0,1,1,88bdd472c1e6,get,measure,0,direct,1.0,64,64,5592.261151003186,,,,,28.160636007669382,0.34590400173328817,0.07774798723403364,40.38975000730716,40.81340199627448,100.0,0.38283993089883267,5592.002215998946,0.2589350042399019
1.0,1,1,88bdd472c1e6,get,measure,0,server_client,1.0,64,64,5276.519139006268,,,,,21.79619799426291,1.1163780000060797,0.10535800538491458,9.816639998462051,11.038376003853045,100.0,1.4155161950042245,59.98744200041983,5216.531697005848
1.0,1,1,88bdd472c1e6,put,measure,0,direct,1.0,64,64,5547.3247619956965,1.58398000348825,14.579367998521775,16.163348002010025,0.9666932864439299,,,,,,,,5547.095297006308,0.22946498938836157
1.0,1,1,88bdd472c1e6,put,measure,0,server_client,1.0,64,64,5320.15422800032,0.23247500939760357,23.670601993217133,23.903077002614737,0.6536815322266165,,,,,,,,60.56014900968876,5259.594078990631
1.0,1,1,ead6cbdb6a16,get,measure,0,direct,1.0,64,64,5573.397036001552,,,,,15.124903002288193,0.5224100023042411,0.09051799133885652,17.821209999965504,18.4341379936086,100.0,0.847612185902993,5573.108702010359,0.28833399119321257
1.0,1,1,ead6cbdb6a16,get,measure,0,server_client,1.0,64,64,5297.384160992806,,,,,13.155052001820877,0.9124920034082606,0.08899800013750792,11.289608999504708,12.291099003050476,100.0,1.2712451503418936,59.51931100571528,5237.864849987091
1.0,1,1,ead6cbdb6a16,put,measure,0,direct,1.0,64,64,5578.011019999394,1.8489239882910624,8.584851006162353,10.433774994453415,1.4975404403781216,,,,,,,,5577.729105003527,0.28191499586682767
1.0,1,1,ead6cbdb6a16,put,measure,0,server_client,1.0,64,64,5273.012778008706,0.2507150056771934,30.476970991003327,30.72768599668052,0.5084990780525404,,,,,,,,58.70670601143502,5214.306071997271
0.0,1,1,ff2426e92f9e,get,measure,0,direct,1.0,64,64,5582.584701987798,,,,,0.9287809953093529,0.26153399085160345,0.04120000812690705,0.0470689992653206,0.3498029982438311,0.0,0.0,5582.380825988366,0.20387599943205714
0.0,1,1,ff2426e92f9e,get,measure,0,server_client,1.0,64,64,5267.349867994199,,,,,2.0181589934509248,0.902952000615187,0.0848889903863892,0.5572280060732737,1.54506899707485,0.0,0.0,63.25838199700229,5204.091485997196
0.0,1,1,ff2426e92f9e,put,measure,0,direct,1.0,64,64,5555.115465002018,0.7855039875721559,0.12164800136815757,0.9071519889403135,0.0,,,,,,,,5554.896308996831,0.2191560051869601
0.0,1,1,ff2426e92f9e,put,measure,0,server_client,1.0,64,64,5235.995840994292,0.3771819901885465,1.706536000710912,2.0837179908994585,0.0,,,,,,,,59.56285599677358,5176.432984997518
